Market,State,Target,Keyword,Signal Strength,Legal Note,Search Query,Google Search URL
"Houston, TX",TX,"Houston, TX",fixer upper,High,Generally permitted - verify current statute,"site:zillow.com ""fixer upper"" ""Houston, TX""",https://www.google.com/search?q=site%3Azillow.com+%22fixer+upper%22+%22Houston%2C+TX%22
"Houston, TX",TX,"Houston, TX",handyman special,High,Generally permitted - verify current statute,"site:zillow.com ""handyman special"" ""Houston, TX""",https://www.google.com/search?q=site%3Azillow.com+%22handyman+special%22+%22Houston%2C+TX%22
"Houston, TX",TX,"Houston, TX",investor special,High,Generally permitted - verify current statute,"site:zillow.com ""investor special"" ""Houston, TX""",https://www.google.com/search?q=site%3Azillow.com+%22investor+special%22+%22Houston%2C+TX%22
"Houston, TX",TX,"Houston, TX",as-is,High,Generally permitted - verify current statute,"site:zillow.com ""as-is"" ""Houston, TX""",https://www.google.com/search?q=site%3Azillow.com+%22as-is%22+%22Houston%2C+TX%22
"Houston, TX",TX,"Houston, TX",needs TLC,High,Generally permitted - verify current statute,"site:zillow.com ""needs TLC"" ""Houston, TX""",https://www.google.com/search?q=site%3Azillow.com+%22needs+TLC%22+%22Houston%2C+TX%22
"Houston, TX",TX,"Houston, TX",probate,High,Generally permitted - verify current statute,"site:zillow.com ""probate"" ""Houston, TX""",https://www.google.com/search?q=site%3Azillow.com+%22probate%22+%22Houston%2C+TX%22
"Houston, TX",TX,"Houston, TX",estate sale,Medium,Generally permitted - verify current statute,"site:zillow.com ""estate sale"" ""Houston, TX""",https://www.google.com/search?q=site%3Azillow.com+%22estate+sale%22+%22Houston%2C+TX%22
"Houston, TX",TX,"Houston, TX",inherited,Medium,Generally permitted - verify current statute,"site:zillow.com ""inherited"" ""Houston, TX""",https://www.google.com/search?q=site%3Azillow.com+%22inherited%22+%22Houston%2C+TX%22
"Houston, TX",TX,"Houston, TX",motivated seller,High,Generally permitted - verify current statute,"site:zillow.com ""motivated seller"" ""Houston, TX""",https://www.google.com/search?q=site%3Azillow.com+%22motivated+seller%22+%22Houston%2C+TX%22
"Houston, TX",TX,"Houston, TX",must sell,Medium,Generally permitted - verify current statute,"site:zillow.com ""must sell"" ""Houston, TX""",https://www.google.com/search?q=site%3Azillow.com+%22must+sell%22+%22Houston%2C+TX%22
"Houston, TX",TX,"Houston, TX",cash only,High,Generally permitted - verify current statute,"site:zillow.com ""cash only"" ""Houston, TX""",https://www.google.com/search?q=site%3Azillow.com+%22cash+only%22+%22Houston%2C+TX%22
"Houston, TX",TX,"Houston, TX",bring all offers,Medium,Generally permitted - verify current statute,"site:zillow.com ""bring all offers"" ""Houston, TX""",https://www.google.com/search?q=site%3Azillow.com+%22bring+all+offers%22+%22Houston%2C+TX%22
"Houston, TX",TX,"Houston, TX",priced to sell,Low,Generally permitted - verify current statute,"site:zillow.com ""priced to sell"" ""Houston, TX""",https://www.google.com/search?q=site%3Azillow.com+%22priced+to+sell%22+%22Houston%2C+TX%22
"Houston, TX",TX,"Houston, TX",tear down,Medium,Generally permitted - verify current statute,"site:zillow.com ""tear down"" ""Houston, TX""",https://www.google.com/search?q=site%3Azillow.com+%22tear+down%22+%22Houston%2C+TX%22
"Houston, TX",TX,"Houston, TX",needs work,Medium,Generally permitted - verify current statute,"site:zillow.com ""needs work"" ""Houston, TX""",https://www.google.com/search?q=site%3Azillow.com+%22needs+work%22+%22Houston%2C+TX%22
